Dataset,Improvement,MAE,RMSE,MASE,MAPE
Exchange-Rate,Improvement 1: Adaptive Tokenization,12.726801368569626,13.661838000658372,12.726808,12.736792
Solar,Improvement 1: Adaptive Tokenization,1.5625029336660226,2.2758957317158424,1.5625019,1.5624857
Traffic,Improvement 2: Ordinal Smoothing,-137.77291215928432,-129.6859658499614,-137.77292,-767.5664
Exchange-Rate,Improvement 2: Ordinal Smoothing,-23.05162723617908,-22.95678563064067,-23.051628,-23.055275
Traffic,Improvement 3: Context Optimization,12.336995897556744,18.270348075408037,12.336991,4.5109177
Solar,Improvement 3: Context Optimization,7.352938577790501,10.416463638363567,7.3529406,7.3529253
Exchange-Rate,Improvement 4: Ensemble Sampling,26.57137644294245,28.951137844520076,26.571379,26.59015
Traffic,Combined Improvements (1+2+3),-165.75304158071302,-151.8649137893491,-165.75305,-1045.4226
